,Count_update,Count_comment,Count_funder,Count_photo,Amount_goal,Start_month,End_month,Duration,Min_perk,No_min_perk,Max_perk,No_max_perk,Median_perk,No_med_perk,Total_perk,FB_like,FB_talking,Youtube_avg_duration,Youtube_avg_view_count,Youtube_avg_rating,US,newtype,status,lat,lon,recoded_country,Mintotal,Maxtotal,Mediantotal
513,2,11,26,0.0,5000,1,4,60.0,5,4,1000,0,100.0,4,10,0,0,0.0,0.0,0.0,1,1,3,30.267153,-97.743060799999995,0,20,0,400.0
514,10,16,25,0.0,250000,11,12,45.0,25,0,2500,0,300.0,4,7,1910,2,0.0,0.0,0.0,0,0,3,0.0,0.0,2,0,0,1200.0
515,0,24,43,6.0,50000,6,8,60.0,10,7,50000,0,500.0,1,11,0,0,4537.1499999999996,2647483.6000000001,3.6149471800000001,1,0,3,40.7143528,-74.005973100000006,0,70,0,500.0
516,3,24,155,1.0,1500,4,6,60.0,10,84,1000,0,125.0,0,4,2056,42,0.0,0.0,0.0,0,0,1,52.091790000000003,5.1145699000000002,5,840,0,0.0
517,10,9,15,0.0,10000,2,4,60.0,1,0,5000,0,175.0,0,8,0,0,0.0,0.0,0.0,0,0,3,50.82253,-0.13716300000000001,6,0,0,0.0
518,12,27,41,9.0,70000,8,9,30.0,2,2,10000,0,175.0,0,12,0,0,151.75,251743.75,2.4864904999999999,1,1,3,32.780139900000002,-96.800451100000004,0,4,0,0.0
519,0,6,26,3.0,30000,10,11,29.0,5,0,10000,0,85.0,0,8,0,0,0.0,0.0,0.0,1,0,3,41.141471699999997,-73.357904899999994,0,0,0,0.0
520,5,38,69,2.0,2000,8,10,60.0,10,29,200,5,50.0,7,5,329,32,572.0,62341.0,4.9757210000000001,1,0,1,37.985009099999999,-103.5438321,0,290,1000,350.0
521,1,21,38,5.0,50000,12,1,32.0,10,1,70,14,57.5,0,12,0,0,0.0,0.0,0.0,1,0,3,37.688888900000002,-97.336111099999997,0,10,980,0.0
522,16,15,38,17.0,23000,6,8,46.0,5,3,975,0,82.0,0,10,250,0,0.0,0.0,0.0,1,1,3,47.528713199999999,-121.82539060000001,0,15,0,0.0
523,5,5,13,1.0,49500,11,12,40.0,10,1,799,0,149.0,0,6,51,3,0.0,0.0,0.0,1,1,3,42.313458400000002,-122.9669865,0,10,0,0.0
524,10,21,20,17.0,23500,6,8,37.0,5,5,315,1,92.0,0,10,0,0,171.8888888889,274.6666666667,3.7142856667000004,0,0,3,-28.017260499999999,153.4256987,10,25,315,0.0
525,5,11,34,11.0,50000,5,7,60.0,5,0,1000,0,75.0,0,10,0,0,0.0,0.0,0.0,1,0,3,0.0,0.0,0,0,0,0.0
526,0,12,97,0.0,10000,7,8,14.0,5,10,5000,0,75.0,6,7,382,8,0.0,0.0,0.0,0,0,3,52.520006600000002,13.404954,11,50,0,450.0
527,1,8,9,8.0,80000,7,8,40.0,10,2,5000,0,107.5,0,6,0,0,0.0,0.0,0.0,1,0,3,0.0,0.0,0,20,0,0.0
528,0,2,24,0.0,100000,4,5,30.0,1,0,10000,0,50.0,8,7,0,0,0.0,0.0,0.0,1,1,3,34.052234200000001,-118.24368490000001,0,0,0,400.0
529,5,4,40,7.0,50000,10,12,46.0,10,2,5000,0,112.5,0,12,0,0,0.0,0.0,0.0,1,1,3,37.354107900000002,-121.95523559999999,0,20,0,0.0
530,6,9,32,2.0,50000,9,11,46.0,10,6,10000,0,350.0,0,11,218,3,0.0,0.0,0.0,1,0,3,41.878113599999999,-87.629798199999996,0,60,0,0.0
531,0,6,13,13.0,79000,11,12,45.0,10,0,5000,0,189.0,0,14,0,0,108.5,363.75,5.0,1,0,3,29.760192700000001,-95.369389600000005,0,0,0,0.0
532,0,5,12,6.0,50000,11,2,90.0,5,1,250,1,75.0,0,8,0,0,0.0,0.0,0.0,0,0,3,45.507368200000002,9.8518782999999992,28,5,250,0.0
533,0,2,12,0.0,200000,10,12,45.0,170,9,100000,0,340.0,0,7,111,1,0.0,0.0,0.0,1,1,3,36.804400299999998,-121.7868953,0,1530,0,0.0
534,0,7,23,0.0,50000,8,9,30.0,5,3,10000,0,300.0,0,8,0,0,0.0,0.0,0.0,1,1,3,38.971668899999997,-95.235250100000002,0,15,0,0.0
535,30,39,24,0.0,98000,8,10,48.0,3,0,1000,0,119.0,0,10,0,0,0.0,0.0,0.0,1,0,3,34.075376200000001,-84.294089900000003,0,0,0,0.0
536,0,21,36,1.0,5000,3,5,45.0,10,1,1000,0,25.0,6,5,0,0,0.0,0.0,0.0,1,0,3,37.974645799999998,-122.5616448,0,10,0,150.0
537,3,22,40,2.0,25000,5,6,50.0,1,9,175,1,94.0,5,7,0,0,91.0,3817.0,2.2999999999999998,0,0,3,12.971598699999999,77.594562699999997,19,9,175,470.0
538,6,6,15,7.0,69000,4,6,60.0,8,3,9600,0,350.0,2,11,0,0,352.5,5463690.5,4.8614291999999999,0,0,3,45.4215296,-75.697193100000007,2,24,0,700.0
539,0,8,33,2.0,50000,8,9,25.0,10,4,10000,0,250.0,2,13,0,0,0.0,0.0,0.0,1,0,3,40.7143528,-74.005973100000006,0,40,0,500.0
540,7,28,24,3.0,18750,11,12,28.0,1,0,100,8,70.0,0,7,0,0,311.0,1062.5,4.8590910000000003,1,0,3,33.4151843,-111.8314724,0,0,800,0.0
541,0,19,34,0.0,10000,8,10,42.0,1,0,5000,0,75.0,0,8,113,0,0.0,0.0,0.0,1,0,3,0.0,0.0,0,0,0,0.0
542,8,17,33,7.0,25000,12,2,47.0,10,6,10000,0,175.0,0,10,0,0,0.0,0.0,0.0,1,0,3,0.0,0.0,0,60,0,0.0
543,3,14,59,0.0,729,4,5,30.0,1,0,500,0,60.0,7,7,0,0,0.0,0.0,0.0,1,1,1,0.0,0.0,0,0,0,420.0
544,32,9,20,0.0,25000,9,10,45.0,1,5,5000,0,72.5,0,12,0,0,273.0,2118214.3333333302,3.6234159832999997,1,1,3,0.0,0.0,0,5,0,0.0
545,3,34,47,2.0,70000,11,12,30.0,5,8,5000,0,100.0,4,7,0,0,0.0,0.0,0.0,1,0,3,0.0,0.0,0,40,0,400.0
546,1,21,16,7.0,90000,3,5,37.0,5,1,249,0,124.0,0,6,0,0,188.1875,8989.625,3.5203214999999997,1,0,3,44.7630567,-85.620631700000004,0,5,0,0.0
547,1,5,19,1.0,10000,6,7,30.0,7,6,10000,0,50.0,1,11,131,1,0.0,0.0,0.0,1,0,3,30.267153,-97.743060799999995,0,42,0,50.0
548,4,5,27,4.0,1950,6,6,18.0,10,8,80,6,45.0,0,2,0,0,0.0,0.0,0.0,0,0,1,-37.814107,144.96328,10,80,480,0.0
549,2,15,49,2.0,20000,4,5,30.0,1,4,300,1,55.0,0,9,362,20,0.0,0.0,0.0,1,0,3,44.983333999999999,-93.266670000000005,0,4,300,0.0
550,2,26,50,9.0,75000,10,11,31.0,1,10,10000,0,63.0,0,8,0,0,0.0,0.0,0.0,0,1,3,41.385063899999999,2.1734035,13,10,0,0.0
551,1,30,15,7.0,80000,10,11,40.0,2,3,2,3,2.0,3,10,581,29,286.75,1054.0,1.8999999999999999,0,0,3,39.981155999999999,-4.2808260000000002,13,6,6,6.0
552,0,4,7,3.0,50000,11,1,60.0,1,0,10000,0,100.0,1,9,0,0,0.0,0.0,0.0,0,0,3,49.261226000000001,-123.1139268,2,0,0,100.0
553,0,7,2,4.0,12000,12,1,30.0,5,0,3000,0,575.0,0,12,0,0,531.14999999999998,460291.59999999998,3.5029812499999999,1,1,3,44.854685600000003,-93.470786000000004,0,0,0,0.0
554,0,5,50,0.0,500000,11,12,33.0,5,15,50000,0,150.0,0,14,0,0,0.0,0.0,0.0,1,1,3,34.052234200000001,-118.24368490000001,0,75,0,0.0
555,19,24,41,3.0,39000,7,8,45.0,18,1,390,0,114.0,5,5,262,0,0.0,0.0,0.0,1,0,3,37.339385700000001,-121.89495549999999,0,18,0,570.0
556,7,24,17,7.0,40000,7,7,25.0,1,1,1000,1,65.0,0,10,0,0,0.0,0.0,0.0,1,0,3,0.0,0.0,0,1,1000,0.0
557,0,11,23,0.0,5000,2,6,120.0,10,9,1000,0,100.0,5,3,0,0,0.0,0.0,0.0,1,0,3,34.052234200000001,-118.24368490000001,0,90,0,500.0
558,0,7,8,0.0,30000,7,8,35.0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,1,0,3,28.538335499999999,-81.379236500000005,0,0,0,0.0
559,18,9,20,9.0,21000,4,6,60.0,10,1,500,0,138.0,0,6,0,0,142.125,123.75,2.0208333313,0,0,3,48.765639999999998,8.2285242000000007,11,10,0,0.0
560,8,33,31,1.0,7000,4,5,47.0,10,0,108,17,18.0,5,4,0,0,0.0,0.0,0.0,0,1,3,38.395814899999998,-6.4010809000000002,13,0,1836,90.0
561,14,9,37,4.0,100000,7,8,34.0,5,2,199,2,60.0,1,7,1179,1,694.60000000000002,4507196.9500000002,2.8810746300000001,1,0,3,29.760192700000001,-95.369389600000005,0,10,398,60.0
562,35,18,151,24.0,1000,7,9,60.0,1,2,150,0,10.0,7,9,0,0,110.40000000000001,1388.0,3.0,0,1,1,53.3498053,-6.2603096999999996,23,2,0,70.0
563,2,18,17,0.0,20000,3,5,60.0,10,5,500,2,100.0,1,7,0,0,0.0,0.0,0.0,1,0,3,40.649999999999999,-73.950000000000003,0,50,1000,100.0
564,1,2,16,15.0,112000,11,12,50.0,25,1,7000,0,126.0,0,16,837,20,0.0,0.0,0.0,1,0,3,33.618910100000001,-117.9289469,0,25,0,0.0
565,2,0,5,5.0,5000,11,12,60.0,1,0,500,1,114.0,0,16,17,2,0.0,0.0,0.0,1,0,3,35.174047100000003,-79.3922539,0,0,500,0.0
566,0,7,7,6.0,65000,7,7,4.0,1,1,385,2,269.0,2,5,0,0,260.6666666667,4748.3333333333003,4.8472221666999999,0,0,3,52.035394400000001,6.8245487000000002,11,1,770,538.0
567,0,0,30,0.0,100000,4,6,50.0,0,0,0,0,0.0,0,0,0,0,83.0,70.0,5.0,0,0,3,45.508669900000001,-73.553992500000007,2,0,0,0.0
568,0,20,13,11.0,25000,8,10,45.0,1,1,3999,0,199.0,1,10,182134,9894,0.0,0.0,0.0,0,0,3,-37.814107,144.96328,10,1,0,199.0
569,4,5,23,9.0,25000,3,5,60.0,60,14,1200,0,165.0,1,11,0,0,112.3333333333,344.3333333333,0.0,1,1,3,37.668820500000002,-122.0807964,0,840,0,165.0
570,93,22,40,21.0,50000,9,11,63.0,5,13,1799,0,92.0,0,10,75,3,0.0,0.0,0.0,0,0,3,0.0,0.0,2,65,0,0.0
571,1,32,38,42.0,80000,11,1,38.0,10,2,200000,0,2000.0,0,17,0,0,1087.5,359335.15000000002,4.1088768299999998,0,0,3,55.676096800000003,12.568337100000001,9,20,0,0.0
572,1,31,24,1.0,35000,8,10,50.0,10,2,1200,0,80.0,0,8,0,0,0.0,0.0,0.0,1,0,3,0.0,0.0,0,20,0,0.0
573,0,4,27,4.0,3000,10,11,60.0,10,3,1000,0,175.0,0,6,0,0,122.8333333333,185.5,3.3333333332999997,0,0,2,0.0,0.0,2,30,0,0.0
574,3,25,59,10.0,132000,3,5,45.0,5,0,100,0,33.0,58,5,17,2,877.75,31216.099999999999,3.9020458549999999,1,0,3,35.174047100000003,-79.3922539,0,0,0,1914.0
575,4,21,15,10.0,55000,11,12,55.0,1,2,10000,0,225.0,0,10,262,59,183.3333333333,197378.33333333299,4.7507821667000005,1,0,3,34.012022899999998,-117.67868470000001,0,2,0,0.0
576,0,10,39,0.0,4350,11,12,34.0,2,0,2,0,2.0,0,11,0,0,0.0,0.0,0.0,0,1,3,51.608044,-1.2448399999999999,6,0,0,0.0
577,5,18,13,5.0,14000,10,12,59.0,5,4,390,0,194.5,0,12,0,0,429.0,419.0,5.0,0,1,3,43.124228000000002,5.9279999999999999,26,20,0,0.0
578,5,6,14,0.0,50000,8,10,62.0,5,1,100,2,45.0,0,4,48,0,0.0,0.0,0.0,1,0,3,41.878113599999999,-87.629798199999996,0,5,200,0.0
579,20,20,28,10.0,30000,10,11,32.0,5,5,1000,0,60.0,0,7,243,4,108.0,21424.799999999999,3.0,0,0,3,51.045324600000001,-114.0581012,2,25,0,0.0
580,3,17,35,1.0,25000,10,11,30.0,10,0,2000,0,120.0,0,8,106,1,0.0,0.0,0.0,1,1,3,40.646062200000003,-111.49797289999999,0,0,0,0.0
581,0,8,15,1.0,2000,11,12,24.0,5,1,5000,0,200.0,0,14,0,0,0.0,0.0,0.0,1,0,1,26.715342400000001,-80.053374599999998,0,5,0,0.0
582,1,5,39,1.0,2000,7,7,13.0,1,2,100,3,15.0,0,4,0,0,0.0,0.0,0.0,1,1,1,35.979873400000002,-78.509722800000006,0,2,300,0.0
583,4,23,26,7.0,6000,7,8,30.0,5,0,400,1,65.0,0,6,0,0,141.5,8679.5,5.0,0,0,3,48.208174300000003,16.3738189,4,0,400,0.0
584,3,17,9,3.0,4000,12,2,75.0,30,0,299,6,50.0,2,3,0,0,0.0,0.0,0.0,1,0,2,0.0,0.0,0,0,1794,100.0
585,11,25,25,0.0,60000,11,12,45.0,1,2,800,0,100.0,1,5,100,17,0.0,0.0,0.0,0,1,3,-26.204102800000001,28.047305099999999,48,2,0,100.0
586,0,19,14,1.0,8000,10,11,35.0,5,2,100,2,25.0,0,5,54,0,0.0,0.0,0.0,1,0,3,0.0,0.0,0,10,200,0.0
587,1,3,1,3.0,50000,6,7,50.0,1,0,10000,0,37.5,0,12,0,0,632.83333333330006,4389.0,0.83333333330000003,1,0,3,0.0,0.0,0,0,0,0.0
588,0,26,22,0.0,1800,12,2,86.0,20,7,200,4,50.0,3,3,0,0,0.0,0.0,0.0,1,0,1,40.7143528,-74.005973100000006,0,140,800,150.0
