Count_update,Count_comment,Count_funder,Count_photo,Amount_goal,Start_month,End_month,Duration,Min_perk,No_min_perk,Max_perk,No_max_perk,Median_perk,No_med_perk,Total_perk,FB_like,FB_talking,Youtube_avg_duration,Youtube_avg_view_count,Youtube_avg_rating,US,newtype,status,lat,lon,recoded_country,Mintotal,Maxtotal,Mediantotal
5,10,5,1,30000,2,4,55,10,0,4000,0,350,0,8,0,0,0,0,0,1,0,3,28.5383355,-81.3792365,0,0,0,0
0,0,9,0,5500,5,6,21,10,1,1000,1,75,1,7,0,0,0,0,0,1,1,3,37.2295733,-80.4139393,0,10,1000,75
7,24,24,0,2500,7,10,86,25,1,50,4,37.5,0,2,0,0,0,0,0,1,0,2,35.9131996,-79.0558445,0,25,200,0
0,9,21,0,500000,5,6,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,14,0,0,0
0,3,10,0,2000,8,9,47,1,1,500,2,60,0,4,0,0,0,0,0,1,0,2,45.5228939,-122.989827,0,1,1000,0
19,3,16,9,10000,6,7,47,1,0,750,1,35,1,7,0,0,198.5,614261,4.1723828,1,0,3,33.7489954,-84.3879824,0,0,750,35
2,11,21,2,15000,6,7,30,5,1,10000,0,97.5,0,16,0,0,147,328,5,1,0,3,25.7889689,-80.2264393,0,5,0,0
0,34,30,1,2000,10,11,15,10,2,100,2,25,1,9,0,0,216,530.5,5,1,0,2,0,0,0,20,200,25
1,5,32,0,100000,10,12,60,10,0,249,0,29,31,3,0,0,0,0,0,1,0,3,0,0,0,0,0,899
1,4,13,8,15000,1,3,40,20,3,2750,0,100,2,5,0,0,0,0,0,1,0,3,0,0,0,60,0,200
3,3,7,0,5000,8,9,53,5,0,5000,0,75,0,8,0,0,0,0,0,1,0,3,29.7601927,-95.3693896,0,0,0,0
1,12,4,12,147000,10,11,60,5,1,2999,0,62.5,0,8,0,0,554.5833333333,4368.5,1.646147825,1,1,3,40.7607793,-111.8910474,0,5,0,0
0,6,21,7,75000,10,12,60,25,1,10000,0,100,8,5,0,0,1351.0714285714,300035.142857143,4.2337924714,0,0,3,43.653226,-79.3831843,2,25,0,800
0,3,13,0,4500,11,12,14,20,2,700,1,160,0,6,0,0,0,0,0,0,1,2,-19.9190677,-43.9385747,15,40,700,0
0,13,21,0,3500,4,6,60,15,7,1000,0,100,4,3,0,0,0,0,0,1,0,3,42.3584308,-71.0597732,0,105,0,400
16,33,31,0,20000,9,1,135,5,2,5000,0,100,4,9,0,0,0,0,0,1,0,3,47.6062095,-122.3320708,0,10,0,400
1,5,23,0,55000,12,1,36,5,2,999,0,49,2,7,0,0,0,0,0,0,1,3,48.4042981,9.979349,11,10,0,98
0,7,12,5,550000,6,8,56,10,0,5000,0,120,8,9,44,0,0,0,0,0,1,3,46.8032826,-71.242796,2,0,0,960
0,6,9,16,294000,9,11,39,10,1,9950,0,182,0,12,0,0,62.5,1490.25,5,1,1,3,34.0522342,-118.2436849,0,10,0,0
12,22,21,4,12000,6,7,35,1,1,1000,0,50,3,7,4396,1,111.3333333333,205.3333333333,1.3333333333,1,0,3,33.4941704,-111.9260519,0,1,0,150
2,10,22,3,1800,4,5,30,2,1,500,0,50,2,7,0,0,0,0,0,1,0,2,40.7143528,-74.0059731,0,2,0,100
9,12,32,0,23000,5,7,60,5,5,1000,0,75,0,8,0,0,44.1428571429,164.4285714286,2.5714285714,1,0,3,44.4758825,-73.212072,0,25,0,0
5,10,19,4,1000,12,2,75,2,0,2,0,2,0,6,0,0,0,0,0,0,0,1,0,0,6,0,0,0
2,5,12,3,150000,3,4,28,25,2,10000,0,1000,0,7,0,0,0,0,0,1,0,3,38.6270025,-90.1994042,0,50,0,0
0,5,8,1,500000,11,12,45,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0
1,14,9,8,150000,12,1,50,10,0,12000,0,299,1,11,0,0,536,46293.1,3.95223047,0,0,3,49.261226,-123.1139268,2,0,0,299
8,4,13,6,171000,2,4,45,5,1,2200,0,170,0,8,0,0,0,0,0,1,1,3,37.4323341,-121.8995741,0,5,0,0
4,28,14,10,50000,10,12,60,1,0,10000,0,75,3,9,0,0,0,0,0,1,0,3,47.6062095,-122.3320708,0,0,0,225
0,3,4,0,100000,2,4,45,10,0,2000,0,75,1,11,54,0,0,0,0,1,0,3,38.5449065,-121.7405167,0,0,0,75
3,7,10,2,157000,5,7,60,5,3,1000,0,313,0,11,0,0,89.3076923077,1047.7692307692,0.8264299538,1,0,3,39.158168,-75.5243682,0,15,0,0
2,13,19,5,15000,9,10,30,49,7,1500,0,103.5,0,8,786,72,120.75,565.5,3.75,0,0,3,25.091075,121.5598345,16,343,0,0
3,25,21,13,10000,9,10,45,5,4,500,0,50,0,7,0,0,97,107.6666666667,0,1,0,3,32.7153292,-117.1572551,0,20,0,0
7,8,140,4,500,4,4,21,1,48,30,5,15,4,3,0,0,0,0,0,1,0,1,37.7749295,-122.4194155,0,48,150,60
0,2,15,0,25000,11,11,20,10,0,210,1,47.5,0,6,0,0,0,0,0,1,1,3,40.7143528,-74.0059731,0,0,210,0
1,12,5,18,300000,6,8,60,299,4,1400,0,850,0,3,15,0,0,0,0,0,0,3,51.5112139,-0.1198244,6,1196,0,0
2,24,64,0,45000,3,5,50,20,46,105,0,35,0,6,0,0,457.45,1267774.85,3.54646624,0,1,3,32.066158,34.777819,17,920,0,0
1,15,14,14,10000,5,6,44,10,0,3000,0,100,7,9,0,0,0,0,0,1,0,3,41.8781136,-87.6297982,0,0,0,700
1,17,24,15,100000,3,5,32,25,4,2500,0,250,0,13,0,0,0,0,0,1,0,3,42.4439614,-76.5018807,0,100,0,0
0,4,7,11,36000,6,8,40,3,0,2000,0,100,0,7,0,0,0,0,0,1,0,3,34.0522342,-118.2436849,0,0,0,0
1,3,19,6,45000,1,3,55,5,2,1500,0,125,4,11,0,0,205,8,0,1,0,3,32.7153292,-117.1572551,0,10,0,500
0,2,8,0,325000,7,8,47,5,3,10000,0,300,0,8,0,0,0,0,0,1,0,3,30.267153,-97.7430608,0,15,0,0
0,15,11,5,20000,6,7,45,1,1,1650,0,185,0,8,0,0,0,0,0,1,0,3,33.8886259,-117.8131125,0,1,0,0
3,7,22,0,28000,6,8,48,1,5,3500,0,150,2,9,0,0,0,0,0,1,0,3,37.3860517,-122.0838511,0,5,0,300
3,3,6,2,12000,10,11,30,10,0,1000,0,60,0,9,0,0,0,0,0,0,0,3,45.4215296,-75.6971931,2,0,0,0
9,34,27,3,2500,8,9,30,1,4,350,1,60,0,6,0,0,0,0,0,1,0,3,41.5623209,-72.6506488,0,4,350,0
1,3,4,5,30000,8,9,30,1,0,5999,0,164,0,10,0,0,0,0,0,1,1,3,34.0736204,-118.4003563,0,0,0,0
